XD,TimeStamp,travel_time_seconds
448838574.0,2022-09-22 18:00:00,28.2975
448838574.0,2022-09-22 19:00:00,25.0225
448838574.0,2022-09-23 06:00:00,20.94
448838574.0,2022-09-23 07:00:00,23.4575
448838574.0,2022-09-23 08:00:00,25.942501
448838574.0,2022-09-23 09:00:00,24.4975
448838574.0,2022-09-23 10:00:00,22.455
448838574.0,2022-09-23 11:00:00,24.905
448838574.0,2022-09-23 12:00:00,25.4775
448838574.0,2022-09-23 13:00:00,25.342499
448838574.0,2022-09-23 14:00:00,31.637499
448838574.0,2022-09-23 15:00:00,36.885002
448838574.0,2022-09-23 16:00:00,32.995
448838574.0,2022-09-23 17:00:00,40.0075
448838574.0,2022-09-23 18:00:00,26.3475
448838574.0,2022-09-23 19:00:00,28.0825
448838574.0,2022-09-24 06:00:00,21.0425
448838574.0,2022-09-24 07:00:00,18.185
448838574.0,2022-09-24 08:00:00,21.625
448838574.0,2022-09-24 09:00:00,22.5775
448838574.0,2022-09-24 10:00:00,23.4825
448838574.0,2022-09-24 11:00:00,24.4925
448838574.0,2022-09-24 12:00:00,27.122501
448838574.0,2022-09-24 13:00:00,27.5175
448838574.0,2022-09-24 14:00:00,54.2175
448838574.0,2022-09-24 15:00:00,23.985
448838574.0,2022-09-24 16:00:00,23.375
448838574.0,2022-09-24 17:00:00,24.705
448838574.0,2022-09-24 18:00:00,22.942501
448838574.0,2022-09-24 19:00:00,23.975
448838574.0,2022-09-25 06:00:00,20.355
448838574.0,2022-09-25 07:00:00,20.0475
448838574.0,2022-09-25 08:00:00,24.657501
448838574.0,2022-09-25 09:00:00,23.82
448838574.0,2022-09-25 10:00:00,21.825
448838574.0,2022-09-25 11:00:00,21.465
448838574.0,2022-09-25 12:00:00,23.78
448838574.0,2022-09-25 13:00:00,23.01
448838574.0,2022-09-25 14:00:00,26.5475
448838574.0,2022-09-25 15:00:00,22.8625
448838574.0,2022-09-25 16:00:00,23.935
448838574.0,2022-09-25 17:00:00,23.810001
448838574.0,2022-09-25 18:00:00,21.78
448838574.0,2022-09-25 19:00:00,22.57
448838574.0,2022-09-26 06:00:00,20.8125
448838574.0,2022-09-26 07:00:00,22.4
448838574.0,2022-09-26 08:00:00,25.622501
448838574.0,2022-09-26 09:00:00,24.165
448838574.0,2022-09-26 10:00:00,25.21
448838574.0,2022-09-26 11:00:00,23.8825
448838574.0,2022-09-26 12:00:00,24.8275
448838574.0,2022-09-26 13:00:00,25.165
448838574.0,2022-09-26 14:00:00,27.6475
448838574.0,2022-09-26 15:00:00,33.315
448838574.0,2022-09-26 16:00:00,34.695
448838574.0,2022-09-26 17:00:00,35.4025
448838574.0,2022-09-26 18:00:00,22.494999
448838574.0,2022-09-26 19:00:00,24.385
448838574.0,2022-09-27 06:00:00,20.810001
448838574.0,2022-09-27 07:00:00,23.9575
448838574.0,2022-09-27 08:00:00,25.244999
